FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
Jordan Pickford             Everton                  GK    £5.5m    7      0       34      0       0        0.02     0.02     0     0     90      8.4%     
Mark Travers                Everton                  GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tom King                    Everton                  GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Adam Aznou                  Everton                  DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Jake O'Brien                Everton                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.5%     
James Tarkowski             Everton                  DEF   £6.0m    6      0       25      9       0.05     0        0.05     0     0     90      8.8%     
Jarrad Branthwaite          Everton                  DEF   £5.5m    6      0       27      8       0        0.01     0.01     0     0     90      1.8%     
Michael Keane               Everton                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.6%     
Nathan Patterson            Everton                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Vitalii Mykolenko           Everton                  DEF   £4.5m    6      0       27      4       0        0.05     0.05     0     0     90      1.6%     
Brennan Johnson             Everton                  MID   £6.0m    1      0       3       2       0        0        0        0     0     6       0.2%     
Carlos Alcaraz Durán        Everton                  MID   £5.0m    1      0       7       3       0.02     0        0.02     0     0     1       0.1%     
Christian Nørgaard          Everton                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Harrison Armstrong          Everton                  MID   £5.0m    8      0       25      16      0        0.04     0.04     0     1     90      0.1%     
Hayden Hackney              Everton                  MID   £5.5m    3      0       16      7       0.01     0.01     0.02     0     0     78      0.3%     
Iliman Ndiaye               Everton                  MID   £6.0m    9      1       36      12      0.24     0.32     0.56     0     1     90      16.0%    
James Garner                Everton                  MID   £6.0m    1      0       6       1       0        0.03     0.03     0     0     11      0.1%     
Kiernan Dewsbury-Hall       Everton                  MID   £6.5m    11     3       40      8       0.12     0.17     0.29     1     0     90      4.0%     
Merlin Röhl                 Everton                  MID   £5.0m    3      0       12      9       0        0.06     0.06     0     0     90      0.1%     
Tim Iroegbunam              Everton                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tyler Dibling               Everton                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tyrique George              Everton                  MID   £5.5m    3      0       13      7       0.18     0.08     0.26     0     0     83      0.3%     
Norberto Bercique Gomes BetuncalEverton                  FWD   £5.5m    1      0       3       0       0.05     0        0.05     0     0     11      2.6%     
Thierno Barry               Everton                  FWD   £5.5m    8      2       37      3       0.45     0.09     0.54     1     0     78      1.7%     
Alfie McNally               Fulham                   GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Benjamin Lecomte            Fulham                   GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.2%     
Bernd Leno                  Fulham                   GK    £4.5m    0      0       0       0       0        0        0        0     0     0       3.1%     
Antonee Robinson            Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       1.7%     
Calvin Bassey               Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.8%     
Joachim Andersen            Fulham                   DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jorge Cuenca Barreno        Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kenny Tete                  Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Ryan Sessegnon              Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
Timothy Castagne            Fulham                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Alex Iwobi                  Fulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       1.0%     
César Palacios              Fulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Emile Smith Rowe            Fulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Harrison Reed               Fulham                   MID   £4.5m    0      0       0       0       0        0        0        0     0     0       1.6%     
Josh King                   Fulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Kevin Santos Lopes de MacedoFulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Oscar Bobb                  Fulham                   MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Sander Berge                Fulham                   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.4%     
Shea Charles                Fulham                   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Tom Cairney                 Fulham                   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Gonzalo García              Fulham                   FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       2.1%     
Jonah Kusi-Asare            Fulham                   FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       7.3%     
Rodrigo Muniz Carvalho      Fulham                   FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.6%     
Dillon Phillips             Hull City                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.6%     
Harvey Cartwright           Hull City                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jack Butland                Hull City                GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Konstantinos Tzolakis       Hull City                GK    £4.5m    10     3       41      0       0        0        0        0     0     90      1.2%     
Thimothée Lo-Tutala         Hull City                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Cathal McCarthy             Hull City                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Charlie Hughes              Hull City                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Cody Drameh                 Hull City                DEF   £4.0m    1      0       4       3       0.05     0        0.05     0     0     20      0.1%     
John Egan                   Hull City                DEF   £4.0m    8      0       27      21      0        0        0        0     0     90      1.7%     
Lewie Coyle                 Hull City                DEF   £4.0m    6      0       23      2       0        0.01     0.01     0     0     69      0.7%     
Lucas Herrington            Hull City                DEF   £4.0m    1      0       4       4       0        0        0        0     0     26      0.7%     
Matt Targett                Hull City                DEF   £4.0m    1      0       3       0       0        0        0        0     0     5       2.4%     
Matty Jacob                 Hull City                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Nobel Mendy                 Hull City                DEF   £4.0m    15     1       35      13      0.28     0        0.28     1     0     63      1.7%     
Paddy McNair                Hull City                DEF   £4.0m    1      0       3       2       0        0        0        0     0     26      0.1%     
Ryan Giles                  Hull City                DEF   £4.0m    6      0       24      6       0.02     0.07     0.09     0     0     84      0.8%     
Semi Ajayi                  Hull City                DEF   £4.0m    14     2       39      7       0.52     0        0.52     1     0     63      1.3%     
Abdülkadir Ömür             Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Abu Kamara                  Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Darko Gyabi                 Hull City                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
David Akintola              Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Eliot Matazo                Hull City                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Elliot Stroud               Hull City                MID   £5.0m    3      0       11      6       0        0.03     0.03     0     0     70      0.1%     
Hidemasa Morita             Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jens Hjertø-Dahl            Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Joe Gelhardt                Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kieran Dowell               Hull City                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Liam Millar                 Hull City                MID   £5.0m    0      0       2       3       0        0        0        0     0     19      0.1%     
Lucas Gourna-Douath         Hull City                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Matt Crooks                 Hull City                MID   £4.5m    2      0       9       9       0        0        0        0     0     90      0.7%     
Mohamed Belloumi            Hull City                MID   £5.0m    3      0       8       10      0.05     0.03     0.08     0     0     90      0.5%     
Regan Slater                Hull City                MID   £4.5m    6      0       20      3       0        0.44     0.44     0     1     90      3.3%     
Óscar Zambrano              Hull City                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Enis Destan                 Hull City                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Mason Burstow               Hull City                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Oli McBurnie                Hull City                FWD   £5.5m    5      0       21      5       0.16     0.01     0.17     0     1     90      1.6%     
Alex Palmer                 Ipswich Town             GK    £4.0m    0      0       0       0       0        0        0        0     0     0       4.7%     
Christian Walton            Ipswich Town             GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
David Button                Ipswich Town             GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.5%     
Kayne van Oevelen           Ipswich Town             GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kjell Scherpen              Ipswich Town             GK    £4.5m    2      0       12      0       0        0        0        0     0     90      0.7%     
Abdoul Ouattara             Ipswich Town             DEF   £4.0m    1      0       4       2       0        0        0        0     0     10      1.1%     
Ben Johnson                 Ipswich Town             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Cédric Kipré                Ipswich Town             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.7%     
Dara O'Shea                 Ipswich Town             DEF   £4.0m    4      0       16      18      0        0.16     0.16     0     0     90      3.5%     
Darnell Furlong             Ipswich Town             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.7%     
Issa Diop                   Ipswich Town             DEF   £4.0m    2      0       7       5       0        0.01     0.01     0     0     90      18.0%    
Jacob Greaves               Ipswich Town             DEF   £4.0m    2      0       12      7       0        0        0        0     0     90      1.5%     
Leif Davis                  Ipswich Town             DEF   £4.0m    2      0       10      7       0        0.01     0.01     0     0     90      5.2%     
Abdul Fatawu                Ipswich Town             MID   £5.5m    2      0       22      7       0        0.41     0.41     0     0     65      0.2%     
Anis Mehmeti                Ipswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Azor Matusiwa               Ipswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Cameron Humphreys           Ipswich Town             MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Chiedozie Ogbene            Ipswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Daizen Maeda                Ipswich Town             MID   £5.5m    2      0       7       9       0.61     0        0.61     0     0     79      0.4%     
Florentino Ibrain Morris LuísIpswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jack Clarke                 Ipswich Town             MID   £5.5m    7      1       27      2       0.10     0        0.10     1     0     19      0.3%     
Jack Taylor                 Ipswich Town             MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jaden Philogene             Ipswich Town             MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Julio Enciso                Ipswich Town             MID   £5.5m    5      0       24      8       0.23     0.31     0.54     0     1     70      0.4%     
Kasey McAteer               Ipswich Town             MID   £4.5m    1      0       4       3       0        0        0        0     0     24      1.4%     
Marcelino Núñez             Ipswich Town             MID   £5.0m    4      0       26      12      0.03     0.03     0.06     0     0     79      0.1%     
Sam Szmodics                Ipswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Saša Lukić                  Ipswich Town             MID   £5.0m    5      0       22      6       0        0.02     0.02     0     1     90      0.1%     
Wes Burns                   Ipswich Town             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Ali Al-Hamadi               Ipswich Town             FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Chuba Akpom                 Ipswich Town             FWD   £5.0m    1      0       3       3       0        0        0        0     0     24      0.6%     
Emersonn Correia da Silva   Ipswich Town             FWD   £5.5m    9      3       41      3       0.82     0.06     0.88     1     0     65      1.0%     
George Hirst                Ipswich Town             FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Sindre Walle Egeli          Ipswich Town             FWD   £4.5m    1      0       3       0       0        0        0        0     0     10      2.3%     
James Trafford              Leeds                    GK    £5.0m    9      2       28      0       0        0        0        0     0     90      3.3%     
Lucas Estella Perri         Leeds                    GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.6%     
Gabriel Gudmundsson         Leeds                    DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jaka Bijol                  Leeds                    DEF   £5.0m    10     2       28      12      0.11     0        0.11     0     0     90      0.5%     
James Justin                Leeds                    DEF   £4.5m    10     2       28      12      0        0.01     0.01     0     0     90      0.8%     
Jayden Bogle                Leeds                    DEF   £4.5m    6      0       24      3       0        0        0        0     0     90      0.5%     
Jayden Lienou               Leeds                    DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Joe Rodon                   Leeds                    DEF   £4.5m    6      0       21      7       0.03     0.06     0.09     0     0     90      3.6%     
Nico Elvedi                 Leeds                    DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Sebastiaan Bornauw          Leeds                    DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tarik Muharemović           Leeds                    DEF   £5.0m    6      0       25      7       0.09     0        0.09     0     0     90      3.4%     
Alfie Cresswell             Leeds                    MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Anton Stach                 Leeds                    MID   £6.0m    13     3       37      16      0.10     0.05     0.15     1     0     90      1.3%     
Brenden Aaronson            Leeds                    MID   £5.5m    3      0       16      7       0.01     0.01     0.02     0     0     81      0.9%     
Daniel James                Leeds                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Ethan Ampadu                Leeds                    MID   £5.5m    5      0       18      13      0        0.04     0.04     0     0     90      1.4%     
Harry Wilson                Leeds                    MID   £6.5m    3      0       8       2       0        0.02     0.02     0     0     65      6.2%     
Ilia Gruev                  Leeds                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jack Harrison               Leeds                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Noah Okafor                 Leeds                    MID   £6.0m    1      0       10      5       0        0.16     0.16     0     0     24      0.5%     
Sean Longstaff              Leeds                    MID   £5.0m    1      0       3       0       0        0        0        0     0     8       0.1%     
Tanaka Ao                   Leeds                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Wilfried Gnonto             Leeds                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Dominic Calvert-Lewin       Leeds                    FWD   £6.0m    1      0       -2      2       0.13     0        0.13     0     0     90      30.4%    
Joël Piroe                  Leeds                    FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Lukas Nmecha                Leeds                    FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.6%     
Mateo Joseph Fernández-RegatilloLeeds                    FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Alisson Becker              Liverpool                GK    £5.5m    2      0       7       0       0        0        0        0     0     90      3.7%     
Armin Pecsi                 Liverpool                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Freddie Woodman             Liverpool                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.1%     
Giorgi Mamardashvili        Liverpool                GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Harvey Davies               Liverpool                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Vitezslav Jaros             Liverpool                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Calvin Ramsay               Liverpool                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Conor Bradley               Liverpool                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Giovanni Leoni              Liverpool                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jeremie Frimpong            Liverpool                DEF   £5.5m    0      0       3       2       0.01     0.09     0.10     0     0     90      3.5%     
Jeremy Jacquet              Liverpool                DEF   £5.0m    1      0       9       3       0        0.02     0.02     0     0     69      2.4%     
Joe Gomez                   Liverpool                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kostas Tsimikas             Liverpool                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Milos Kerkez                Liverpool                DEF   £5.5m    0      0       3       7       0.02     0.02     0.04     0     0     90      3.8%     
Ronald Araujo               Liverpool                DEF   £5.5m    1      0       3       4       0        0.03     0.03     0     0     20      2.7%     
Virgil van Dijk             Liverpool                DEF   £6.5m    2      0       8       11      0.25     0.01     0.26     0     0     90      19.6%    
Wellity Lucky               Liverpool                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Alexis Mac Allister         Liverpool                MID   £5.5m    1      0       9       3       0        0.01     0.01     0     0     27      1.7%     
Cody Gakpo                  Liverpool                MID   £7.0m    12     3       33      12      0.30     0.15     0.45     1     0     90      4.1%     
Curtis Jones                Liverpool                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Dominik Szoboszlai          Liverpool                MID   £7.0m    8      1       29      7       0.85     0.27     1.12     1     0     90      42.1%    
Endo Wataru                 Liverpool                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Federico Chiesa             Liverpool                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Florian Wirtz               Liverpool                MID   £7.5m    2      0       16      5       0.26     0.04     0.30     0     0     62      12.5%    
Harvey Elliott              Liverpool                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
James McConnell             Liverpool                MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Lewis Koumas                Liverpool                MID   £5.0m    1      0       4       1       0.03     0        0.03     0     0     12      0.0%     
Rio Ngumoha                 Liverpool                MID   £6.0m    2      0       9       3       0.04     0.02     0.06     0     0     62      1.2%     
Ryan Gravenberch            Liverpool                MID   £6.0m    5      0       26      11      0.06     0.05     0.11     0     1     77      2.0%     
Stefan Bajčetić Maquieira   Liverpool                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Trey Nyoni                  Liverpool                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Victor Munoz                Liverpool                MID   £6.5m    4      0       15      0       0.10     0.04     0.14     0     1     27      0.6%     
Alexander Isak              Liverpool                FWD   £9.0m    2      0       6       1       1.09     0.01     1.10     0     0     90      17.0%    
Hugo Ekitiké                Liverpool                FWD   £7.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Jayden Danns                Liverpool                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Gerónimo Rulli              Man City                 GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Gianluigi Donnarumma        Man City                 GK    £5.5m    3      0       12      0       0        0        0        0     0     90      8.3%     
Marcus Bettinelli           Man City                 GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Abdukodir Khusanov          Man City                 DEF   £5.5m    2      0       14      4       0        0.02     0.02     0     0     90      1.8%     
Joško Gvardiol              Man City                 DEF   £5.5m    9      1       28      7       0.19     0.05     0.24     1     0     90      11.8%    
Marc Guéhi                  Man City                 DEF   £6.0m    10     2       31      4       0.89     0.32     1.21     1     0     90      17.8%    
Matheus Nunes               Man City                 DEF   £6.0m    1      0       4       1       0        0.04     0.04     0     0     33      1.6%     
Max Alleyne                 Man City                 DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Nico O'Reilly               Man City                 DEF   £6.5m    2      0       5       2       0.07     0.41     0.48     0     0     62      21.3%    
Rayan Aït-Nouri             Man City                 DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       0.9%     
Rico Lewis                  Man City                 DEF   £4.5m    1      0       -1      2       0.17     0.02     0.19     0     0     56      0.2%     
Rúben dos Santos Gato Alves DiasMan City                 DEF   £5.5m    2      0       11      6       0        0.14     0.14     0     0     90      1.8%     
Vitor de Oliveira Nunes dos ReisMan City                 DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Antoine Semenyo             Man City                 MID   £8.5m    2      0       16      5       0.06     0.02     0.08     0     0     90      25.8%    
Claudio Echeverri           Man City                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Divine Mukasa               Man City                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Elliot Anderson             Man City                 MID   £6.5m    2      0       14      6       0        0.25     0.25     0     0     62      7.4%     
Jack Grealish               Man City                 MID   £6.5m    1      0       2       1       0        0        0        0     0     8       0.2%     
Jeremy Monga                Man City                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jérémy Doku                 Man City                 MID   £7.5m    0      0       0       0       0        0        0        0     0     0       1.7%     
Kalvin Phillips             Man City                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Mateo Kovačić               Man City                 MID   £5.5m    1      0       3       2       0        0.01     0.01     0     0     27      0.1%     
Nico González Iglesias      Man City                 MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Phil Foden                  Man City                 MID   £7.0m    1      0       15      6       0.12     0.40     0.52     0     0     81      4.3%     
Rayan Cherki                Man City                 MID   £7.5m    8      1       28      0       0        0.50     0.50     0     2     27      8.8%     
Rodrigo 'Rodri' Hernandez CascanteMan City                 MID   £6.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Sávio Moreira de Oliveira   Man City                 MID   £6.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Tijjani Reijnders           Man City                 MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Erling Haaland              Man City                 FWD   £15.5m   2      0       6       3       0.74     0.02     0.76     0     0     90      69.0%    
Omar Marmoush               Man City                 FWD   £7.0m    0      0       0       0       0        0        0        0     0     0       1.0%     
Altay Bayındır              Man Utd                  GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Karl Darlow                 Man Utd                  GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Senne Lammens               Man Utd                  GK    £5.0m    1      0       7       0       0        0        0        0     0     90      16.2%    
Tom Heaton                  Man Utd                  GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Ayden Heaven                Man Utd                  DEF   £4.5m    1      0       5       2       0.12     0.04     0.16     0     0     90      0.4%     
Diogo Dalot Teixeira        Man Utd                  DEF   £5.0m    1      0       6       3       0        0        0        0     0     10      2.7%     
Harry Amass                 Man Utd                  DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Harry Maguire               Man Utd                  DEF   £5.0m    1      0       15      4       0.04     0.40     0.44     0     0     90      17.8%    
Leny Yoro                   Man Utd                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.7%     
Lisandro Martínez           Man Utd                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.4%     
Luke Shaw                   Man Utd                  DEF   £4.5m    1      0       13      4       0        0.26     0.26     0     0     90      20.7%    
Matthijs de Ligt            Man Utd                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Noussair Mazraoui           Man Utd                  DEF   £4.5m    1      0       8       5       0.22     0.05     0.27     0     0     79      0.7%     
Tyler Fredricson            Man Utd                  DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Amad Diallo                 Man Utd                  MID   £6.0m    0      0       0       0       0        0        0        0     0     0       1.4%     
Andrey Nascimento dos SantosMan Utd                  MID   £5.0m    2      0       17      9       0        0.23     0.23     0     0     66      1.0%     
Bendito Mantato             Man Utd                  MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Bruno Borges Fernandes      Man Utd                  MID   £12.0m   2      0       18      6       0.08     0.26     0.34     0     0     90      50.6%    
Bryan Mbeumo                Man Utd                  MID   £8.0m    2      0       12      4       0.50     0.23     0.73     0     0     90      37.7%    
Jack Fletcher               Man Utd                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kobbie Mainoo               Man Utd                  MID   £5.5m    1      0       7       1       0.07     0.01     0.08     0     0     23      1.0%     
Manuel Ugarte Ribeiro       Man Utd                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Marcus Rashford             Man Utd                  MID   £7.0m    1      0       9       1       0        0.10     0.10     0     0     45      1.7%     
Mason Mount                 Man Utd                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Matheus Santos Carneiro da CunhaMan Utd                  MID   £8.0m    2      0       14      3       0.24     0.21     0.45     0     0     79      10.0%    
Patrick Dorgu               Man Utd                  MID   £6.0m    0      0       -11     1       0.47     0.03     0.50     0     0     45      1.3%     
Shea Lacey                  Man Utd                  MID   £5.0m    1      0       3       1       0        0        0        0     0     10      0.0%     
Toby Collyer                Man Utd                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tyler Fletcher              Man Utd                  MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Youri Tielemans             Man Utd                  MID   £6.0m    2      0       13      5       0.04     0.11     0.15     0     0     66      2.5%     
Benjamin Sesko              Man Utd                  FWD   £7.0m    1      0       2       0       0.04     0        0.04     0     0     23      1.5%     
Chido Obi                   Man Utd                  FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       1.1%     
Joshua Zirkzee              Man Utd                  FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.6%     
Ewen Jaouen                 Newcastle                GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Lukás Hornícek              Newcastle                GK    £5.0m    1      0       12      0       0        0        0        0     0     90      0.7%     
Mark Gillespie              Newcastle                GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Nick Pope                   Newcastle                GK    £5.0m    0      0       0       0       0        0        0        0     0     0       1.3%     
Alex Murphy                 Newcastle                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Amar Dedic                  Newcastle                DEF   £4.5m    1      0       -1      9       0.03     0        0.03     0     0     90      0.3%     
Dan Burn                    Newcastle                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       2.3%     
Fabian Schär                Newcastle                DEF   £5.0m    1      0       -1      0       0        0        0        0     0     1       0.3%     
Leo Shahar                  Newcastle                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Lewis Hall                  Newcastle                DEF   £5.0m    3      0       8       11      0        0.35     0.35     0     0     90      3.8%     
Malick Thiaw                Newcastle                DEF   £5.0m    3      0       0       15      0        0        0        0     0     90      1.7%     
Sven Botman                 Newcastle                DEF   £5.0m    3      0       4       10      0        0.01     0.01     0     0     90      0.5%     
Tino Livramento             Newcastle                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Aladji Bamba                Newcastle                MID   £5.0m    1      0       5       2       0        0        0        0     0     14      0.1%     
Anthony Elanga              Newcastle                MID   £6.0m    9      2       31      2       0.22     0.01     0.23     1     0     75      1.1%     
Bazoumana Touré             Newcastle                MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Harvey Barnes               Newcastle                MID   £6.0m    2      0       12      8       0.07     0.02     0.09     0     0     90      1.1%     
Jacob Murphy                Newcastle                MID   £6.0m    0      0       -1      2       0        0        0        0     0     14      0.2%     
Jacob Ramsey                Newcastle                MID   £5.0m    0      0       1       6       0.06     0.01     0.07     0     0     34      0.4%     
Joe Willock                 Newcastle                MID   £5.0m    6      0       28      3       0.09     0.17     0.26     1     0     34      0.1%     
