FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
Ross Barkley                Aston Villa              MID   £5.0m    2      0       11      1       0.10     0.02     0.12     0     0     73      0.2%     
Samuel Iling-Junior         Aston Villa              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Brian Madjo                 Aston Villa              FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
Ollie Watkins               Aston Villa              FWD   £8.0m    0      0       0       0       0        0        0        0     0     0       10.0%    
Tammy Abraham               Aston Villa              FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Fraser Forster              Bournemouth              GK    £4.0m    0      0       0       0       0        0        0        0     0     0       3.2%     
Will Dennis                 Bournemouth              GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Đorđe Petrović              Bournemouth              GK    £4.5m    2      0       13      0       0        0        0        0     0     90      3.3%     
Adam Smith                  Bournemouth              DEF   £4.5m    1      0       4       5       0        0        0        0     0     90      0.1%     
Adrien Truffert             Bournemouth              DEF   £5.5m    1      0       0       7       0        0        0        0     0     90      4.4%     
António João Pereira de Albuquerque Tavares da SilvaBournemouth              DEF   £5.0m    2      0       5       13      0        0        0        0     0     90      0.3%     
Bafodé Diakité              Bournemouth              DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
James Hill                  Bournemouth              DEF   £5.5m    1      0       0       6       0        0        0        0     0     90      0.9%     
Juanlu Sánchez              Bournemouth              DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Julio Soler Barreto         Bournemouth              DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Julián Araujo Zúñiga        Bournemouth              DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Veljko Milosavljevic        Bournemouth              DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Alex Scott                  Bournemouth              MID   £6.0m    2      0       17      11      0        0.01     0.01     0     0     90      1.5%     
Alex Tóth                   Bournemouth              MID   £5.0m    1      0       5       2       0        0        0        0     0     15      0.0%     
Amine Adli                  Bournemouth              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Ben Gannon-Doak             Bournemouth              MID   £5.0m    1      0       3       1       0        0        0        0     0     1       0.1%     
David Brooks                Bournemouth              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Junior Kroupi               Bournemouth              MID   £7.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Justin Kluivert             Bournemouth              MID   £6.0m    3      0       15      9       0.11     0        0.11     0     0     74      1.2%     
Lewis Cook                  Bournemouth              MID   £5.0m    3      0       8       7       0        0        0        0     0     75      0.2%     
Marcus Tavernier            Bournemouth              MID   £6.0m    10     3       32      8       0.40     0.08     0.48     1     0     90      1.8%     
Rayan Vitor Simplício Rocha Bournemouth              MID   £6.5m    2      0       9       1       0.04     0.03     0.07     0     0     88      2.8%     
Ryan Christie               Bournemouth              MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Tyler Adams                 Bournemouth              MID   £5.0m    1      0       4       3       0        0        0        0     0     15      0.2%     
Daniel Jebbison             Bournemouth              FWD   £5.0m    1      0       6       1       0.10     0        0.10     0     0     15      0.0%     
Enes Ünal                   Bournemouth              FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Francisco Evanilson de Lima BarbosaBournemouth              FWD   £6.0m    4      0       17      8       0        0.21     0.21     0     1     74      2.5%     
Álvaro Rodríguez            Bournemouth              FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Caoimhín Kelleher           Brentford                GK    £5.0m    7      0       34      0       0        0.01     0.01     0     0     90      6.1%     
Hákon Rafn Valdimarsson     Brentford                GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Aaron Hickey                Brentford                DEF   £4.5m    1      0       2       0       0        0        0        0     0     14      0.1%     
Ethan Pinnock               Brentford                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jannik Schuster             Brentford                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Kim Ji-soo                  Brentford                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kristoffer Ajer             Brentford                DEF   £4.5m    8      0       29      10      0.11     0.02     0.13     0     0     90      3.7%     
Michael Kayode              Brentford                DEF   £4.5m    13     1       36      4       0.50     0        0.50     1     0     75      4.6%     
Nathan Collins              Brentford                DEF   £5.5m    6      0       21      3       0.34     0.04     0.38     0     0     90      1.9%     
Rico Henry                  Brentford                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Sepp van den Berg           Brentford                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Antoni Milambo              Brentford                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Dango Ouattara              Brentford                MID   £6.5m    3      0       6       6       0.05     0.29     0.34     0     0     66      1.2%     
Fábio Freitas Gouveia CarvalhoBrentford                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jaidon Anthony              Brentford                MID   £6.0m    1      0       9       8       0.03     0.35     0.38     0     0     23      0.2%     
Josh Dasilva                Brentford                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Keane Lewis-Potter          Brentford                MID   £5.5m    10     2       37      10      0.77     0.12     0.89     1     0     90      0.7%     
Kevin Schade                Brentford                MID   £6.0m    3      0       17      9       0.52     0.01     0.53     0     0     90      3.6%     
